# Without drogue (Up to date)
# 598 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
27.033,1.26,1004.476
27.083,1.471,1004.901
27.133,1.482,1005.327
27.183,1.343,1005.754
27.233,1.282,1006.18
27.283,1.246,1006.607
27.333,1.037,1007.035
27.383,0.969,1007.462
27.433,1.059,1007.89
27.483,1.293,1008.318
27.533,1.508,1008.747
27.583,1.402,1009.176
27.633,1.017,1009.605
27.683,0.875,1010.034
27.733,0.926,1010.464
27.783,1.371,1010.893
27.833,1.409,1011.323
27.883,1.245,1011.754
27.933,1.04,1012.184
27.983,0.871,1012.615
28.033,0.793,1013.046
# Event GROUND_HIT occurred at t=28.083 seconds
# Event SIMULATION_END occurred at t=28.083 seconds
28.083,0.842,1013.25
